Documenten van meer dan 2,5 kg en pakketten;;;;;;;;;;;;;;
zone;1;2;3;4;5;51;52;6;61;7;703;8;9;10
Gewicht;;;;;;;;;;;;;;
0,5 kg;77,65;111,35;155,55;160,80;178,10;207,90;213,55;206,25;207,65;219,95;182,30;180,15;206,90;265,80
1,0 kg;78,35;113,30;161,75;167,70;185,75;218,30;224,45;211,90;214,90;232,25;188,55;190,35;220,10;283,00
1,5 kg;79,15;115,45;168,10;174,80;193,55;228,45;235,55;217,75;222,45;244,70;194,95;200,40;233,20;300,20
2,0 kg;79,80;117,60;174,35;181,70;201,25;238,85;246,65;224,55;229,65;256,80;201,30;210,45;246,10;317,65
2,5 kg;80,50;119,70;180,55;188,60;208,90;249,15;257,50;231,70;237,10;269,20;207,55;220,75;258,80;335,05
3,0 kg;81,10;120,60;185,20;191,25;211,65;259,55;268,60;243,05;244,20;279,00;212,25;230,75;270,45;347,80
3,5 kg;81,45;122,20;191,25;196,70;218,45;270,00;279,00;250,30;251,40;289,30;218,40;241,10;282,30;363,35
4,0 kg;82,05;123,80;197,50;201,85;225,40;280,50;289,35;257,65;258,40;299,45;224,70;251,45;294,05;378,85
4,5 kg;82,55;125,60;203,70;207,25;232,30;291,00;299,75;264,90;265,80;309,65;231,00;261,80;305,80;394,35
5,0 kg;83,05;127,30;209,80;212,50;239,20;301,20;310,15;272,10;273,05;319,85;237,15;272,20;317,65;409,85
5,5 kg;83,45;128,20;213,15;217,75;246,05;311,50;320,50;278,30;280,10;330,00;240,50;279,15;319,85;425,35
6,0 kg;84,05;129,50;216,75;223,15;252,85;321,80;331,05;284,35;287,00;340,25;244,20;286,05;332,15;440,60
6,5 kg;84,65;130,35;220,20;228,35;259,60;332,00;340,90;290,70;294,05;350,50;247,70;292,95;344,45;456,15
7,0 kg;85,00;131,60;223,60;233,70;266,40;342,30;350,70;296,90;301,25;360,45;251,15;299,90;356,55;471,55
7,5 kg;85,40;132,65;227,25;239,00;273,15;352,55;360,30;303,00;308,25;370,85;254,80;306,65;369,00;487,10
8,0 kg;85,90;133,80;230,70;244,30;280,10;362,75;370,25;309,25;315,25;381,00;258,30;313,55;381,20;502,45
8,5 kg;86,55;134,85;234,10;249,65;286,80;372,95;380,10;315,40;322,45;391,05;261,75;320,40;393,55;517,90
9,0 kg;87,00;136,05;237,55;254,95;293,60;383,20;390,05;321,50;329,55;401,25;265,25;327,45;405,85;533,40
9,5 kg;87,45;137,25;241,15;260,20;300,20;393,45;399,90;327,80;336,45;411,55;268,85;334,20;418,00;548,85
10 kg;87,85;138,45;244,60;265,55;307,20;403,65;409,75;333,85;343,50;421,60;272,35;341,20;430,40;564,15
