Documenten van meer dan 2,5 kg en pakketten;;;;;;;;;;;;;;;;
zone;1;2;3;4;5;51;52;6;61;7;703;705;8;9;10;11
Gewicht;;;;;;;;;;;;;;;;
0,5 kg;27,75;51,15;92,15;97,05;112,95;140,00;144,00;138,35;140,30;149,60;118,15;139,25;115,70;140,75;193,00;205,55
1,0 kg;28,60;53,05;97,85;103,40;120,05;149,65;154,00;145,15;146,00;161,05;123,95;146,40;124,45;152,70;208,90;225,95
1,5 kg;29,30;55,05;103,55;109,75;127,25;159,30;164,35;152,10;153,00;172,65;129,70;153,65;133,85;165,05;224,90;246,40
2,0 kg;30,25;56,85;109,35;116,00;134,10;168,95;174,65;159,00;161,30;184,15;135,55;160,60;143,25;177,20;241,00;266,85
2,5 kg;31,05;58,80;114,95;122,55;141,20;178,55;184,70;165,80;169,20;195,60;141,20;167,75;152,75;189,45;257,00;287,35
3,0 kg;31,40;59,55;120,80;128,90;147,05;188,25;195,10;173,75;173,80;207,05;147,15;173,70;164,50;201,40;271,55;307,75
3,5 kg;31,60;61,30;126,30;135,30;153,65;198,00;204,55;180,60;180,65;216,55;152,70;180,35;174,45;212,70;286,20;328,65
4,0 kg;32,00;62,95;132,20;141,50;160,10;207,70;214,25;187,35;187,40;226,00;158,65;186,90;184,70;224,15;300,80;349,40
4,5 kg;32,45;64,70;137,75;147,90;166,65;217,60;223,80;194,10;194,15;235,55;164,25;193,50;194,90;235,40;315,25;370,20
5,0 kg;32,85;66,50;143,55;154,25;173,25;227,25;233,40;201,00;201,10;244,95;170,15;200,20;205,05;246,75;329,95;390,90
5,5 kg;33,15;67,50;146,45;157,05;178,85;236,90;243,05;207,00;207,05;254,30;173,10;205,85;211,15;248,55;344,40;395,15
6,0 kg;33,30;68,30;149,60;159,55;184,25;246,75;252,75;212,90;212,95;264,00;176,30;211,35;217,35;260,40;358,80;413,40
6,5 kg;33,65;69,35;152,70;162,40;189,95;256,35;262,40;218,95;219,00;273,35;179,40;217,10;223,40;271,90;373,30;431,70
7,0 kg;33,80;70,15;155,80;164,90;195,55;266,25;271,85;225,00;225,05;282,85;182,50;222,75;229,45;283,85;387,60;449,95
7,5 kg;34,00;71,20;159,00;167,65;201,15;275,90;281,55;230,85;231,00;292,30;185,75;228,40;235,70;295,55;402,00;467,95
8,0 kg;34,30;72,00;162,05;170,25;206,65;285,55;291,15;236,85;236,90;301,80;188,90;233,95;241,85;307,30;416,50;486,05
8,5 kg;34,50;73,10;165,05;172,95;212,35;295,45;300,85;242,85;242,90;311,30;191,90;239,70;247,95;319,05;431,00;504,10
9,0 kg;34,75;74,10;168,20;175,45;217,80;305,10;310,45;248,85;248,90;320,70;195,05;245,25;254,00;330,80;445,30;522,35
9,5 kg;35,20;75,00;171,30;178,25;223,40;314,95;320,00;254,75;254,90;330,10;198,20;250,90;260,10;342,55;459,70;540,45
10 kg;35,40;75,95;174,35;180,75;229,00;324,65;329,75;260,75;260,85;339,65;201,30;256,55;266,35;354,10;474,05;558,40
11 kg;35,65;77,80;177,35;186,65;236,50;336,80;340,35;266,10;266,95;353,75;204,35;264,15;273,90;375,30;488,50;581,30
12 kg;36,05;79,65;180,55;192,20;243,90;349,45;353,50;274,25;275,90;366,35;207,55;271,65;286,10;392,65;508,20;604,00
13 kg;36,80;81,50;183,65;197,90;251,40;362,30;366,70;282,40;284,85;378,90;210,70;279,25;298,30;409,95;527,90;626,80
14 kg;37,20;83,20;186,75;203,65;258,80;374,80;379,95;290,55;293,70;391,40;213,85;286,70;310,50;427,50;547,65;649,65
15 kg;37,70;84,90;189,85;209,15;266,40;387,60;393,15;298,70;302,60;404,05;217,00;294,35;322,70;444,70;567,45;672,45
16 kg;38,20;86,70;193,00;214,90;273,85;400,25;406,40;306,90;312,05;416,65;220,15;301,90;334,95;462,15;587,10;695,20
17 kg;38,75;88,55;195,90;220,55;281,25;413,05;419,65;315,00;321,30;429,20;223,05;309,40;347,25;479,45;607,00;717,85
18 kg;39,20;90,40;199,20;226,20;288,75;425,60;432,70;323,10;330,85;441,80;226,40;317,00;359,20;496,75;626,50;740,85
19 kg;39,65;92,25;202,05;231,70;296,10;438,55;446,05;331,30;340,25;454,35;229,30;324,40;371,45;514,10;646,35;763,60
20 kg;40,10;94,00;205,30;237,65;303,75;451,25;459,15;339,35;349,45;466,90;232,60;332,15;383,70;531,50;665,90;786,40
22 kg;43,25;98,20;214,05;248,10;322,95;479,65;486,05;360,00;368,30;493,70;241,45;351,55;406,15;565,15;709,75;838,45
24 kg;46,25;102,05;221,55;257,65;340,90;505,85;510,65;378,95;385,40;518,20;249,05;369,70;426,80;596,30;750,20;886,75
26 kg;49,15;105,85;229,20;267,45;358,90;532,00;535,35;394,65;402,35;542,65;256,80;387,90;446,15;627,45;790,70;935,05
28 kg;52,05;109,50;237,10;276,75;376,65;558,20;560,00;410,25;419,50;567,15;264,75;405,90;465,80;658,45;831,10;983,05
30 kg;55,05;113,35;244,75;286,20;394,45;584,45;584,60;425,90;436,45;591,55;272,50;423,90;485,30;689,75;871,55;1.031,35
35 kg;58,55;119,30;262,10;307,75;421,80;633,25;641,20;446,60;467,85;658,20;290,05;451,55;530,40;771,10;978,40;1.157,85
40 kg;62,25;125,05;279,85;331,05;452,05;704,10;712,60;475,85;499,30;732,10;308,00;482,15;575,65;858,95;1.085,40;1.284,45
45 kg;66,00;130,85;297,50;354,00;482,60;774,75;784,15;505,20;530,50;806,25;325,80;513,00;620,90;946,75;1.192,30;1.420,85
50 kg;69,40;136,55;315,40;377,15;512,70;845,40;855,60;534,70;561,95;880,20;343,95;543,50;666,35;1.034,65;1.299,15;1.557,10
55 kg;73,10;142,25;333,25;400,15;543,10;916,05;927,10;564,10;593,35;954,15;362,00;574,25;711,55;1.122,75;1.406,15;1.693,55
60 kg;76,80;148,05;350,95;423,25;573,30;986,80;998,55;593,55;624,65;1.028,10;379,90;604,75;756,90;1.210,55;1.512,95;1.829,85
65 kg;80,35;153,90;368,75;446,55;603,65;1.057,40;1.070,10;622,85;655,95;1.102,10;397,85;635,45;802,05;1.298,55;1.619,80;1.966,25
70 kg;84,05;159,70;386,50;469,50;633,95;1.128,20;1.141,50;652,40;687,25;1.175,95;415,85;666,10;847,35;1.386,35;1.726,80;2.102,70
