Multi-pakketzendingen;;;;;;;;;;;;
zone;1;2;3;4;5;51;6;61;7;704;706;8
Gewicht;;;;;;;;;;;;
5 kg;20,85;37,55;52,05;72,35;109,80;112,80;119,60;133,20;186,90;96,20;143,45;185,25
10 kg;23,15;43,65;59,10;82,35;132,90;138,30;165,35;178,75;243,05;106,20;189,20;240,90
15 kg;25,60;49,65;65,80;92,50;160,85;169,90;200,05;212,65;275,00;116,35;223,90;272,50
20 kg;28,10;55,50;72,85;102,35;188,80;201,50;235,05;246,45;303,85;126,20;258,90;301,05
25 kg;30,70;61,35;79,90;112,80;206,40;232,55;270,20;280,70;338,50;136,65;294,05;335,30
30 kg;34,25;72,70;86,70;124,05;223,70;255,00;304,95;314,60;370,05;147,90;328,80;366,65
40 kg;44,35;96,50;114,90;164,65;246,40;277,50;350,75;356,80;401,75;188,50;374,60;398,05
50 kg;55,30;120,30;143,35;201,00;297,75;322,40;396,50;402,70;433,35;224,85;420,35;437,85
60 kg;65,70;140,85;170,80;237,50;339,60;378,55;448,30;449,55;468,25;261,35;472,15;473,00
70 kg;78,45;150,05;194,85;268,25;374,75;426,05;522,90;528,10;526,05;292,10;546,75;527,30
80 kg;90,40;159,10;205,35;279,80;386,45;435,70;531,50;536,60;533,40;303,65;555,35;538,95
90 kg;104,70;173,45;219,80;294,20;400,80;450,15;545,95;551,00;565,90;318,05;569,80;571,70
100 kg;118,85;187,85;234,25;308,70;415,25;464,55;560,40;565,40;598,25;332,55;584,25;604,30
120 kg;133,15;202,35;248,65;323,05;438,95;478,90;574,80;579,85;712,90;346,90;598,65;720,40
140 kg;147,40;216,75;263,10;337,40;478,90;510,25;595,15;616,30;827,45;361,25;619,00;836,05
160 kg;161,65;231,05;277,45;376,60;517,75;558,15;661,65;670,80;942,25;400,45;685,50;951,85
180 kg;175,90;245,45;291,85;414,20;564,80;606,90;687,50;724,40;1.056,95;438,05;711,35;1.067,80
200 kg;190,15;259,95;306,30;453,05;612,15;659,85;727,45;800,65;1.171,85;476,90;751,30;1.183,85
