Land / Territorium;Landcode;Landcode;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones
Land;ISO-Code;Add;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday
Costa Rica;CR;+;;10;10;;5;10;10;10;10;10;;5;10;10
Côte d’Ivoire (Ivoorkust);CI;;;;11;;6;;;10;10;10;;;;
Curaçao;CW;;;;10;;5;;;9;9;9;;;;
Cyprus;CY;;52;52;52;;;;;52;52;52;;;;
Denemarken;DK;+;4;4;4;5;;4;4;5;5;5;4;;5;5
Djibouti;DJ;;;;11;;6;;;10;10;10;;;;
Dominica;DM;;;;10;;5;;;9;9;9;;;;
Dominicaanse Republiek;DO;+;;10;10;;5;10;;8;8;8;;3;8;8
"Duitsland Andere diensten:20000 - 38999, 40000 - 65999";DE;+;;3;3;2;;3;3;;3;3;3;;3;3
"Duitsland Andere diensten(Overige bestemmingen)";DE;+;;4;4;3;;4;4;;3;3;3;;3;3
"DuitslandExpress Plus services Postcodes20000 - 67999, 68721, 74819";DE;+;3;;;;;;;3;;;;;;
"Duitsland Express Plus(Overige bestemmingen)";DE;+;4;;;;;;;3;;;;;;
Ecuador;EC;+;;10;10;;5;10;;10;10;10;;5;10;10
Egypte;EG;;;9;9;;4;;;10;10;10;;5;;
El Salvador;SV;+;;;10;;3;10;;10;10;10;;5;10;10
Engeland;GB;+;703;703;703;704;;3;3;783;753;753;754;;3;3
Eritrea;ER;;;;11;;6;;;10;10;10;;;;
Estland;EE;;;52;52;61;;;;52;52;52;41;;;
Ethiopië;ET;;;;11;;6;;;10;10;10;;;;
Faeröer Eilanden;FO;;;;7;;102;;;;;;;;;
Fiji;FJ;;;10;10;;5;;;10;10;10;;;;
Filippijnen;PH;+;9;9;9;;4;9;;9;9;9;;4;9;9
Finland;FI;+;5;5;5;6;;5;5;5;5;5;4;;5;5
"FrankrijkVoor de genoemde gebiedenPostcodes02000 - 02999, 08000 - 0899910000 - 10999, 27000 - 2899945000 - 45999, 51000 - 5299954000 - 55999, 57000 - 5799959000 - 60999, 62000 - 6299967000 - 68999, 75000 - 7899980000 - 80999, 88000 - 95999(bovenstaande omvat alle adressen inLille (Rijsel), Nancy, Orleans, Parijs,Reims, Rouen en Straatsburg";FR;+;3;3;3;4;;3;3;4;4;4;3;;4;4
Frankrijk (Overige bestemmingen);FR;+;4;4;4;5;;4;4;4;4;4;3;;4;4
Frans-Guyana;GF;;;10;10;;5;;;;;;;;;
Frans-Polynesië;PF;;;;10;;5;;;10;10;10;;;;
Gabon;GA;;;;11;;6;;;10;10;10;;;;
Gambia;GM;;;11;11;;6;;;10;10;10;;;;
Gaza / Westelijke Jordaanoever;PS;;;;9;;4;9;;9;9;9;;4;9;9
Georgië;GE;+;10;10;10;;5;;;10;10;10;;;;
Ghana;GH;;;;11;;6;;;10;10;10;;;;
Gibraltar;GI;;;;7;;102;;;7;7;7;;;;
Grenada;GD;;;;10;;5;;;9;9;9;;;;
Griekenland;GR;+;;5;5;61;;5;5;4;4;4;41;4;4;
Groenland;GL;;;;7;;102;;;;;;;;;
Guadeloupe;GP;+;;10;10;;5;;;9;9;9;;;;
